127.0.0.1, 2018-04-16 11:59:04, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.488000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-16 11:59:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 11:59:44, GET, /admin/default/index, HTTP/1.1, 200, 0.329000
127.0.0.1, 2018-04-16 11:59:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-16 11:59:46, POST, /admin/default/index, HTTP/1.1, 303, 0.070000
127.0.0.1, 2018-04-16 11:59:46, GET, /admin/default/site, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-04-16 11:59:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.443000
127.0.0.1, 2018-04-16 11:59:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-16 11:59:49, GET, /Chekailo/default/index, HTTP/1.1, 500, 0.389000
127.0.0.1, 2018-04-16 11:59:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-16 11:59:52, GET, /admin/default/ticket/Chekailo/127.0.0.1.2018-04-16.11-59-49.05365a48-580b-46e7-ad81-0f46986fc4e5, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-04-16 11:59:52, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 11:59:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
